close,return,realreturn,direction,future_direction,lag1,lag2,lag3,lag4,lag5,result,up,uptotal,rsi
201.14,0.002339415,0.47,1,-1,2,1,2,2,2,0.47,1,0.47,46.17142857
200.97,-0.00084554,-0.17,-1,-1,2,2,1,2,2,0.17,0,0,50.56320401
199.48,-0.007441663,-1.49,-1,-1,1,2,2,1,2,1.49,0,0,44.73975637
198.95,-0.002660444,-0.53,-1,-1,1,1,2,2,1,0.53,0,0,43.20855615
198.06,-0.004483522,-0.89,-1,1,1,1,1,2,2,0.89,0,0,36.08247423
198.7,0.003226134,0.64,1,1,1,1,1,1,2,0.64,1,0.64,36.41025641
198.71,5.03E-05,0.01,1,1,2,1,1,1,1,0.01,1,0.01,36.89119171
200,0.006470891,1.29,1,1,2,2,1,1,1,1.29,1,1.29,40.64327485
201.5,0.007472015,1.5,1,1,2,2,2,1,1,1.5,1,1.5,58.15384615
201.96,0.002280277,0.46,1,1,2,2,2,2,1,0.46,1,0.46,59.56392468
202.59,0.003114574,0.63,1,-1,2,2,2,2,2,0.63,1,0.63,61.65413534
202.34,-0.001234781,-0.25,-1,1,2,2,2,2,2,0.25,0,0,57.75609756
203.03,0.003404301,0.69,1,1,1,2,2,2,2,0.69,1,0.69,66.49899396
203.43,0.001968214,0.4,1,1,2,1,2,2,2,0.4,1,0.4,64.64968153
204.35,0.004512245,0.92,1,-1,2,2,1,2,2,0.92,1,0.92,66.26139818
203.08,-0.00623422,-1.27,-1,1,2,2,2,1,2,1.27,0,0,59.61713765
204.13,0.005157056,1.05,1,-1,1,2,2,2,1,1.05,1,1.05,72.07977208
203.91,-0.001078326,-0.22,-1,-1,2,1,2,2,2,0.22,0,0,74.26614481
203.84,-0.000343348,-0.07,-1,-1,1,2,1,2,2,0.07,0,0,80.74468085
203.31,-0.002603465,-0.53,-1,1,1,1,2,1,2,0.53,0,0,74.8116254
203.49,0.000884956,0.18,1,1,1,1,1,2,1,0.18,1,0.18,75.26427061
203.9,0.002012814,0.41,1,1,2,1,1,1,2,0.41,1,0.41,72.72727273
204.59,0.003378299,0.69,1,1,2,2,1,1,1,0.69,1,0.69,69.88416988
204.68,0.000439807,0.09,1,1,2,2,2,1,1,0.09,1,0.09,68.37837838
205.05,0.001806068,0.37,1,-1,2,2,2,2,1,0.37,1,0.37,67.22689076
204.07,-0.00479078,-0.98,-1,-1,2,2,2,2,2,0.98,0,0,60.99110546
202.9,-0.005749825,-1.17,-1,-1,1,2,2,2,2,1.17,0,0,49.22155689
201.9,-0.004940722,-1,-1,1,1,1,2,2,2,1,0,0,41.45251397
202.02,0.000594177,0.12,1,-1,1,1,1,2,2,0.12,1,0.12,35.70552147
201.57,-0.002229987,-0.45,-1,1,2,1,1,1,2,0.45,0,0,39.69986357
202.19,0.003071134,0.62,1,-1,1,2,1,1,1,0.62,1,0.62,35.94202899
199.9,-0.011390608,-2.29,-1,-1,2,1,2,1,1,2.29,0,0,27.6477146
198.94,-0.00481397,-0.96,-1,-1,0,2,1,2,1,0.96,0,0,25.15212982
198.79,-0.000754281,-0.15,-1,1,1,0,2,1,2,0.15,0,0,26.16033755
198.86,0.000352068,0.07,1,1,1,1,0,2,1,0.07,1,0.07,25.29348986
199.14,0.001407035,0.28,1,-1,2,1,1,0,2,0.28,1,0.28,24.24242424
198.42,-0.003622099,-0.72,-1,1,2,2,1,1,0,0.72,0,0,16.7206041
198.93,0.002567008,0.51,1,-1,1,2,2,1,1,0.51,1,0.51,20.33023736
198.66,-0.001358183,-0.27,-1,-1,2,1,2,2,1,0.27,0,0,16.68404588
198.01,-0.003277286,-0.65,-1,1,1,2,1,2,2,0.65,0,0,17.27861771
199.11,0.005539901,1.1,1,-1,1,1,2,1,2,1.1,1,1.1,29.37976061
198.67,-0.002212279,-0.44,-1,-1,2,1,1,2,1,0.44,0,0,31.28621089
196.14,-0.012816467,-2.53,-1,1,1,2,1,1,2,2.53,0,0,23.36956522
197.11,0.004933259,0.97,1,-1,0,1,2,1,1,0.97,1,0.97,30.70934256
196.83,-0.001421537,-0.28,-1,1,2,0,1,2,1,0.28,0,0,26.114082
197.68,0.00430915,0.85,1,-1,1,2,0,1,2,0.85,1,0.85,38.65030675
197.49,-0.000961612,-0.19,-1,-1,2,1,2,0,1,0.19,0,0,41.95338513
196.96,-0.002687288,-0.53,-1,-1,1,2,1,2,0,0.53,0,0,40.25559105
196.63,-0.001676872,-0.33,-1,1,1,1,2,1,2,0.33,0,0,38.44559585
197.23,0.00304677,0.6,1,-1,1,1,1,2,1,0.6,1,0.6,40.42126379
196.42,-0.004115337,-0.81,-1,1,2,1,1,1,2,0.81,0,0,40.05964215
196.85,0.002186794,0.43,1,1,1,2,1,1,1,0.43,1,0.43,39.57915832
196.88,0.000152389,0.03,1,1,2,1,2,1,1,0.03,1,0.03,40.862423
197.23,0.001776154,0.35,1,-1,2,2,1,2,1,0.35,1,0.35,45.86864407
